# chữ	âm Hán Việt	nghĩa
爱	ái	yêu
八	bát	tám
爸	ba	bố
北	bắc	bắc, phía bắc
京	kinh	kinh đô
杯	bôi	cốc, chén
本	bản	gốc; quyển
不	bất	không
客	khách	khách
气	khí	khí, hơi
菜	thái	rau; món ăn
茶	trà	trà
租	tô	thuê
电	điện	điện
的	đích	trợ từ sở hữu
点	điểm	điểm; giờ
脑	não	não
视	thị	nhìn
影	ảnh	bóng, ảnh
东	đông	đông
读	độc	đọc
都	đô	đều; đô thị
多	đa	nhiều
少	thiểu	ít
二	nhị	hai
儿	nhi	trẻ con; hậu tố
饭	phạn	cơm
飞	phi	bay
分	phân	chia; phút
钟	chung	chuông; giờ
兴	hưng	hưng thịnh; hứng thú
个	cá	cái (lượng từ)
工	công	công việc
作	tác	làm
狗	cẩu	chó
汉	hán	Hán
语	ngữ	ngôn ngữ
和	hòa	và; hòa
喝	hát	uống
很	ngận	rất
后	hậu	sau
回	hồi	về, trở lại
会	hội	biết; họp
几	kỷ	mấy
叫	khiếu	gọi
今	kim	nay
天	thiên	trời; ngày
九	cửu	chín
看	khán	nhìn, xem
见	kiến	thấy
块	khối	cục; đồng (tiền)
来	lai	đến
老	lão	già
师	sư	thầy
了	liễu	rồi (trợ từ)
冷	lãnh	lạnh
里	lý	trong; dặm
零	linh	số không
六	lục	sáu
吗	ma	trợ từ nghi vấn
买	mãi	mua
妈	ma	mẹ
猫	miêu	mèo
没	một	không (có)
关	quan	đóng; quan hệ
系	hệ	hệ thống; buộc
米	mễ	gạo; mét
明	minh	sáng
名	danh	tên
字	tự	chữ
哪	ná	nào, đâu
那	na	đó, kia
呢	ni	trợ từ
你	nễ	bạn
朋	bằng	bạn
友	hữu	bạn
漂	phiêu	trôi nổi
亮	lượng	sáng
苹	tần	táo
果	quả	quả
七	thất	bảy
钱	tiền	tiền
前	tiền	trước
请	thỉnh	mời
热	nhiệt	nóng
人	nhân	người
认	nhận	nhận
识	thức	biết
三	tam	ba
商	thương	buôn bán
店	điếm	cửa hàng
午	ngọ	trưa
谁	thùy	ai
十	thập	mười
候	hậu	chờ; thời điểm
书	thư	sách
水	thủy	nước
睡	thụy	ngủ
四	tứ	bốn
岁	tuế	tuổi
他	tha	anh ấy
她	tha	cô ấy
太	thái	quá
同	đồng	cùng
学	học	học
喂	uy	alo; cho ăn
我	ngã	tôi
们	môn	(số nhiều)
五	ngũ	năm
下	hạ	dưới; xuống
想	tưởng	nghĩ; muốn
先	tiên	trước
现	hiện	hiện
雨	vũ	mưa
写	tả	viết
些	ta	một số
谢	tạ	cảm ơn
喜	hỉ	thích; vui
欢	hoan	vui
星	tinh	sao
期	kỳ	kỳ hạn
习	tập	luyện tập
校	hiệu	trường
衣	y	áo
听	thính	nghe
医	y	y học
院	viện	viện
椅	ỷ	ghế
有	hữu	có
月	nguyệt	tháng; trăng
怎	chẩm	thế nào
样	dạng	dạng, kiểu
这	giá	này
中	trung	giữa
国	quốc	nước
住	trú	ở
桌	trác	bàn
做	tố	làm
坐	tọa	ngồi
昨	tạc	hôm qua
船	thuyền	thuyền
斤	cân	cân (500g)
号	hào	số; ngày
迎	nghênh	đón
答	đáp	trả lời
向	hướng	hướng về
元	nguyên	đồng (tiền); nguyên
张	trương	tờ; mở
自	tự	tự mình
行	hành	đi; được
啊	a	a (thán từ)
矮	ải	thấp, lùn
安	an	yên
静	tĩnh	yên tĩnh
阿	a	a (tiền tố)
姨	di	dì
把	bả	cầm; giới từ
半	bán	nửa
搬	ban	chuyển, dời
办	biện	làm, xử lý
法	pháp	phép, cách
饱	bão	no
包	bao	bọc; túi
被	bị	bị
方	phương	phương, hướng
变	biến	biến đổi
化	hóa	hóa
示	thị	bày tỏ
演	diễn	diễn
较	giảo	so sánh
冰	băng	băng
箱	sương	hòm, tủ
赛	tái	thi đấu
必	tất	ắt phải
须	tu	cần phải
鼻	tị	mũi
才	tài	mới; tài
单	đơn	đơn
参	tham	tham gia
加	gia	thêm
草	thảo	cỏ
层	tầng	tầng
差	sai	kém; sai
超	siêu	vượt
市	thị	chợ; thành phố
成	thành	thành
绩	tích	thành tích
城	thành	thành phố
衬	sấn	áo lót
衫	sam	áo
迟	trì	muộn
厨	trù	bếp
除	trừ	trừ
春	xuân	xuân
词	từ	từ ngữ
聪	thông	thông minh
带	đái	mang; dải
糕	cao	bánh
当	đương	làm; đang
担	đảm	gánh
心	tâm	tim, lòng
扫	tảo	quét
算	toán	tính
地	địa	đất
灯	đăng	đèn
低	đê	thấp
梯	thê	thang
鸟	điểu	chim
铁	thiết	sắt
图	đồ	hình, bản đồ
冬	đông	mùa đông
物	vật	vật
段	đoạn	đoạn
短	đoản	ngắn
锻	đoán	rèn
炼	luyện	luyện
饿	ngạ	đói
耳	nhĩ	tai
朵	đóa	đóa, bông
而	nhi	mà
且	thả	vả lại
放	phóng	thả, đặt
发	phát	phát; tóc
烧	thiêu	đốt; sốt
附	phụ	phụ thêm
复	phục	lặp lại; phục
敢	cảm	dám
刚	cương	vừa mới
干	can	khô; làm
净	tịnh	sạch
感	cảm	cảm
冒	mạo	mạo; cảm
跟	cân	theo; với
更	canh	càng
根	căn	rễ; căn cứ
据	cứ	căn cứ
园	viên	vườn
刮	quát	cạo; thổi
于	vu	ở, tại
汁	trấp	nước ép
故	cố	cũ; cố ý
害	hại	hại
怕	phạ	sợ
河	hà	sông
板	bản	tấm, ván
画	họa	vẽ
花	hoa	hoa; tiêu
坏	hoại	hỏng, xấu
换	hoán	đổi
黄	hoàng	vàng
环	hoàn	vòng
境	cảnh	cảnh, hoàn cảnh
议	nghị	bàn bạc
或	hoặc	hoặc
者	giả	người
护	hộ	bảo vệ
照	chiếu	chiếu; chụp
极	cực	cực
骑	kỵ	cưỡi
检	kiểm	kiểm tra
查	tra	tra xét
简	giản	đơn giản
讲	giảng	nói, giảng
健	kiện	khỏe
康	khang	khỏe mạnh
脚	cước	chân
记	ký	nhớ; ghi
借	tá	mượn
接	tiếp	nhận; đón
街	nhai	phố
结	kết	kết
婚	hôn	cưới
解	giải	giải
决	quyết	quyết
节	tiết	tiết; lễ
目	mục	mắt; mục
束	thúc	bó; kết thúc
乎	hồ	(trợ từ)
季	quý	mùa
理	lý	lý lẽ
旧	cựu	cũ
久	cửu	lâu
角	giác	góc; hào
定	định	định
举	cử	giơ; tổ chức
句	cú	câu
刻	khắc	khắc; 15 phút
渴	khát	khát
空	không	trống; không khí
调	điều	điều chỉnh
口	khẩu	miệng
哭	khốc	khóc
筷	khoái	đũa
裤	khố	quần
蓝	lam	xanh lam
脸	kiểm	mặt
辆	lượng	chiếc (xe)
练	luyện	luyện
邻	lân	láng giềng
居	cư	ở
历	lịch	lịch sử; trải qua
史	sử	sử
礼	lễ	lễ
楼	lâu	lầu
绿	lục	xanh lá
马	mã	ngựa
满	mãn	đầy
帽	mạo	mũ
万	vạn	vạn
拿	nã	cầm
难	nan	khó
南	nam	nam
级	cấp	cấp
轻	khinh	nhẹ
努	nỗ	cố gắng
力	lực	sức
胖	bàn	béo
盘	bàn	đĩa; mâm
爬	ba	bò, leo
山	sơn	núi
啤	bi	bia
酒	tửu	rượu
葡	bồ	nho
萄	đào	nho
普	phổ	phổ biến
通	thông	thông
奇	kỳ	lạ
怪	quái	lạ, quái
清	thanh	trong
楚	sở	rõ ràng
其	kỳ	của nó
实	thực	thật
秋	thu	mùa thu
裙	quần	váy
容	dung	dung; chứa
易	dị	dễ
如	như	như
伞	tản	ô, dù
网	võng	lưới; mạng
声	thanh	tiếng
音	âm	âm thanh
使	sử	khiến; sứ
世	thế	đời
界	giới	giới, cõi
瘦	sấu	gầy
树	thụ	cây
刷	loát	chải, quét
双	song	đôi
舒	thư	thoải mái
平	bình	bằng
叔	thúc	chú
数	số	số
阳	dương	mặt trời
糖	đường	đường
特	đặc	đặc biệt
疼	đông	đau
甜	điềm	ngọt
提	đề	nhấc; nêu
育	dục	nuôi dạy
头	đầu	đầu
腿	thoái	đùi, chân
突	đột	đột nhiên
碗	oản	bát
忘	vong	quên
位	vị	vị, chỗ
文	văn	văn
夏	hạ	mùa hè
像	tượng	giống
香	hương	thơm
蕉	tiêu	chuối
相	tương	lẫn nhau
信	tín	tin
鞋	hài	giày
惯	quán	thói quen
李	lý	mận; họ Lý
趣	thú	thú vị
闻	văn	nghe; tin
鲜	tiên	tươi
熊	hùng	gấu
澡	táo	tắm
选	tuyển	chọn
择	trạch	chọn
需	nhu	cần
镜	kính	gương; kính
求	cầu	cầu, xin
爷	gia	ông
般	bàn	loại; như
应	ưng	nên
该	cai	nên
响	hưởng	vang
银	ngân	bạc
直	trực	thẳng
用	dụng	dùng
又	hựu	lại
戏	hí	kịch; đùa
愿	nguyện	nguyện, mong
遇	ngộ	gặp
越	việt	vượt; càng
云	vân	mây
顾	cố	chăm sóc; ngoảnh
急	cấp	gấp
片	phiến	mảnh, tấm
只	chỉ	chỉ; con
种	chủng	loại; trồng
重	trọng	nặng; quan trọng
终	chung	cuối
周	chu	tuần; chu vi
末	mạt	cuối
祝	chúc	chúc
主	chủ	chủ
注	chú	chú ý
典	điển	điển
己	kỷ	mình
总	tổng	tổng; luôn
业	nghiệp	nghề
暗	ám	tối
排	bài	xếp hàng
全	toàn	toàn bộ
按	án	ấn; theo
抱	bão	ôm
保	bảo	bảo vệ
括	quát	bao gồm
歉	khiểm	xin lỗi
证	chứng	chứng
倍	bội	gấp
笨	bổn	ngốc
遍	biến	lượt; khắp
达	đạt	đạt
格	cách	cách, khuôn
扬	dương	giương, nêu
标	tiêu	tiêu chuẩn
饼	bính	bánh
并	tịnh	và; đồng thời
毕	tất	xong
博	bác	rộng
士	sĩ	sĩ
部	bộ	bộ
管	quản	quản lý
仅	cận	chỉ
擦	sát	lau
猜	sai	đoán
材	tài	vật liệu
料	liệu	liệu
观	quan	xem
尝	thường	nếm
江	giang	sông
吵	sảo	ồn; cãi
功	công	công lao
诚	thành	thành thật
熟	thục	chín; quen
乘	thừa	đi (xe); nhân
惊	kinh	kinh sợ
抽	trừu	rút
烟	yên	khói; thuốc lá
窗	song	cửa sổ
户	hộ	cửa; hộ
传	truyền	truyền
粗	thô	thô
案	án	án; hồ sơ
扮	ban	hóa trang
概	khái	đại khái
戴	đái	đội, đeo
代	đại	thay; thời đại
替	thế	thay
弹	đàn	đàn; bắn
刀	đao	dao
处	xứ	nơi; xử lý
底	để	đáy
导	đạo	dẫn
扰	nhiễu	quấy rầy
印	ấn	in; ấn tượng
约	ước	hẹn; khoảng
折	chiết	gấp; giảm
针	châm	kim
掉	điệu	rơi; mất
丢	đâu	mất, vứt
址	chỉ	địa chỉ
断	đoạn	đứt, cắt
堵	đổ	tắc, chặn
顿	đốn	bữa; dừng
肚	đỗ	bụng
童	đồng	trẻ em
律	luật	luật
反	phản	ngược; phản
弃	khí	bỏ
暑	thử	nóng (mùa hè)
假	giả	giả; nghỉ
访	phỏng	thăm
烦	phiền	phiền
恼	não	bực
范	phạm	phạm vi
围	vi	vây; phạm vi
翻	phiên	lật; dịch
译	dịch	dịch
映	ánh	chiếu
展	triển	triển khai
份	phần	phần
丰	phong	phong phú
富	phú	giàu
风	phong	gió
景	cảnh	cảnh
之	chi	của
否	phủ	không, phủ
则	tắc	thì; quy tắc
符	phù	phù hợp
合	hợp	hợp
父	phụ	cha
亲	thân	thân
杂	tạp	tạp
负	phụ	gánh; âm
责	trách	trách nhiệm
改	cải	sửa
燥	táo	khô
各	các	mỗi, các
具	cụ	dụng cụ; có
资	tư	tư liệu; vốn
够	cú	đủ
购	cấu	mua
挂	quải	treo
逛	cuống	dạo
光	quang	ánh sáng; hết
广	quảng	rộng
播	bá	phát, gieo
键	kiện	phím
众	chúng	đông người
孤	cô	cô đơn
规	quy	quy tắc
估	cổ	ước tính
计	kế	tính
鼓	cổ	trống; cổ vũ
励	lệ	khích lệ
程	trình	trình
际	tế	giới hạn; giao
掌	chưởng	bàn tay; nắm
羞	tu	xấu hổ
海	hải	biển
洋	dương	đại dương
汗	hãn	mồ hôi
航	hàng	đi (tàu, máy bay)
寒	hàn	lạnh
码	mã	mã
适	thích	thích hợp
盒	hạp	hộp
厚	hậu	dày
悔	hối	hối hận
猴	hầu	khỉ
怀	hoài	ôm; nhớ
疑	nghi	ngờ
忆	ức	nhớ
获	hoạch	thu được
活	hoạt	sống
泼	bát	hắt; hoạt bát
忽	hốt	bỗng
互	hỗ	lẫn nhau
寄	ký	gửi
价	giá	giá
坚	kiên	kiên cố
持	trì	giữ
减	giảm	giảm
肥	phì	béo
降	giáng	hạ, giảm
奖	tưởng	thưởng
金	kim	vàng
将	tương	sẽ
交	giao	giao
骄	kiêu	kiêu
傲	ngạo	ngạo
流	lưu	chảy
授	thụ	trao, dạy
饺	giáo	sủi cảo
油	du	dầu
基	cơ	nền
础	sở	nền tảng
激	kích	kích
释	thích	giải thích
受	thụ	nhận, chịu
集	tập	tập hợp
划	hoạch	vạch; kế hoạch
积	tích	tích lũy
精	tinh	tinh
彩	thái	màu sắc
警	cảnh	cảnh sát
察	sát	xem xét
济	tế	cứu giúp; kinh tế
剧	kịch	kịch
竟	cánh	rốt cuộc
神	thần	thần
尽	tận	hết
验	nghiệm	kiểm nghiệm
竞	cạnh	thi đua
争	tranh	tranh
紧	khẩn	chặt; gấp
禁	cấm	cấm
止	chỉ	dừng
既	ký	đã
及	cập	đến, kịp
即	tức	tức là; ngay
技	kỹ	kỹ thuật
术	thuật	thuật
究	cứu	nghiên cứu
继	kế	tiếp nối
续	tục	tiếp tục
拒	cự	từ chối
绝	tuyệt	tuyệt
距	cự	khoảng cách
虑	lự	lo nghĩ
棵	khỏa	cây (lượng từ)
怜	liên	thương
肯	khẳng	đồng ý
咳	khái	ho
嗽	thấu	ho
惜	tích	tiếc
科	khoa	khoa
恐	khủng	sợ
苦	khổ	đắng; khổ
宽	khoan	rộng
困	khốn	buồn ngủ; khốn
扩	khuếch	mở rộng
辣	lạt	cay
拉	lạp	kéo
垃	lạp	rác
圾	cấp	rác
桶	dũng	thùng
懒	lãn	lười
浪	lãng	sóng; lãng phí
费	phí	phí
漫	mạn	tràn; tùy ý
虎	hổ	hổ
俩	lưỡng	hai (người)
连	liên	liền
凉	lương	mát
联	liên	liên kết
聊	liêu	trò chuyện
厉	lệ	nghiêm
貌	mạo	dáng vẻ
另	lánh	khác
例	lệ	ví dụ
留	lưu	giữ lại
泪	lệ	nước mắt
利	lợi	lợi
弄	lộng	làm
乱	loạn	loạn
麻	ma	tê; vừng
毛	mao	lông
巾	cân	khăn
美	mỹ	đẹp
丽	lệ	đẹp
梦	mộng	mơ
免	miễn	miễn
密	mật	kín; mật
民	dân	dân
族	tộc	tộc
母	mẫu	mẹ
耐	nại	chịu đựng
内	nội	trong
龄	linh	tuổi
农	nông	nông
村	thôn	thôn
暖	noãn	ấm
偶	ngẫu	ngẫu nhiên
尔	nhĩ	vậy
列	liệt	liệt kê; hàng
判	phán	phán xét
陪	bồi	cùng, kèm
骗	phiến	lừa
篇	thiên	bài (văn)
皮	bì	da
肤	phu	da
乒	binh	(bóng bàn)
乓	bang	(bóng bàn)
瓶	bình	chai
批	phê	phê bình; lô
评	bình	bình luận
脾	tỳ	lá lách; tính
破	phá	vỡ
墙	tường	tường
签	thiêm	ký; thẻ
桥	kiều	cầu
敲	xao	gõ
巧	xảo	khéo
克	khắc	khắc phục; gam
况	huống	tình huống
松	tùng	lỏng; thông
戚	thích	họ hàng
穷	cùng	nghèo
取	thủ	lấy
区	khu	khu
却	khước	nhưng
缺	khuyết	thiếu
确	xác	xác thực
群	quần	bầy, nhóm
闹	náo	ồn ào
扔	nhưng	ném
仍	nhưng	vẫn
任	nhiệm	nhiệm vụ; bất kỳ
何	hà	gì
币	tệ	tiền tệ
软	nhuyễn	mềm
入	nhập	vào
散	tán	tản
森	sâm	rừng rậm
林	lâm	rừng
沙	sa	cát
量	lượng	lượng
伤	thương	thương tổn
稍	sảo	hơi
微	vi	nhỏ, hơi
社	xã	xã hội
深	thâm	sâu
剩	thặng	thừa
省	tỉnh	tỉnh; tiết kiệm
命	mệnh	mệnh
申	thân	trình bày
甚	thậm	rất
至	chí	đến
失	thất	mất
败	bại	thua
傅	phó	thầy
纪	kỷ	kỷ luật; kỷ
食	thực	ăn
品	phẩm	phẩm
湿	thấp	ẩm
润	nhuận	ẩm, nhuận
狮	sư	sư tử
收	thu	thu
首	thủ	đầu; bài
售	thụ	bán
货	hóa	hàng hóa
拾	thập	nhặt
输	thâu	thua; vận chuyển
帅	soái	đẹp trai
顺	thuận	thuận
序	tự	thứ tự
硕	thạc	thạc sĩ; lớn
悉	tất	biết rõ
死	tử	chết
酸	toan	chua
速	tốc	tốc độ
度	độ	độ
随	tùy	theo
塑	tố	nhựa; nặn
袋	đại	túi
孙	tôn	cháu
抬	đài	nâng
台	đài	đài; chiếc
态	thái	thái độ
谈	đàm	nói chuyện
躺	thảng	nằm
趟	thảng	chuyến
汤	thang	canh
讨	thảo	thảo luận
论	luận	luận
厌	yếm	chán ghét
填	điền	điền
供	cung	cung cấp
挺	đĩnh	khá
停	đình	dừng
醒	tỉnh	tỉnh
推	thôi	đẩy
脱	thoát	cởi
袜	miệt	tất
味	vị	vị
危	nguy	nguy
险	hiểm	hiểm
温	ôn	ấm
章	chương	chương
握	ác	nắm
无	vô	không
误	ngộ	sai, lỡ
污	ô	bẩn
染	nhiễm	nhiễm
咸	hàm	mặn
详	tường	chi tiết
细	tế	nhỏ, kỹ
羡	tiện	hâm mộ
慕	mộ	ngưỡng mộ
限	hạn	giới hạn
制	chế	chế
效	hiệu	hiệu quả
消	tiêu	tiêu
页	hiệt	trang
柿	thị	hồng (quả)
性	tính	tính
奋	phấn	phấn đấu
幸	hạnh	may mắn
福	phúc	phúc
辛	tân	cay; vất vả
卡	ca	thẻ
修	tu	sửa
吸	hấp	hút
引	dẫn	dẫn
许	hứa	cho phép; nhiều
血	huyết	máu
呀	nha	(thán từ)
牙	nha	răng
膏	cao	kem, cao
压	áp	ép
盐	diêm	muối
养	dưỡng	nuôi
严	nghiêm	nghiêm
研	nghiên	nghiên cứu
邀	yêu	mời
钥	thược	chìa
匙	thi	chìa khóa; thìa
亚	á	Á
洲	châu	châu
叶	diệp	lá
亿	ức	trăm triệu
此	thử	này
赢	doanh	thắng
硬	ngạnh	cứng
饮	ẩm	uống
象	tượng	voi; hình tượng
切	thiết	cắt
艺	nghệ	nghệ thuật
勇	dũng	dũng cảm
永	vĩnh	mãi mãi
由	do	do
优	ưu	ưu tú
幽	u	u tối; hài
默	mặc	im lặng
尤	vưu	đặc biệt
秀	tú	đẹp, giỏi
谊	nghị	tình bạn
与	dữ	với
圆	viên	tròn
原	nguyên	nguyên; đồng cỏ
谅	lượng	thông cảm
阅	duyệt	đọc
愉	du	vui
羽	vũ	lông vũ
允	doãn	cho phép
预	dự	dự
言	ngôn	lời
脏	tạng	bẩn; nội tạng
咱	cha	chúng ta
暂	tạm	tạm
志	chí	chí
增	tăng	tăng
窄	trách	hẹp
招	chiêu	chiêu mộ; vẫy
聘	sính	tuyển dụng
整	chỉnh	chỉnh
齐	tề	đều
式	thức	kiểu
指	chỉ	ngón tay; chỉ
支	chi	chi; cây (bút)
值	trị	giá trị
质	chất	chất
植	thực	trồng
职	chức	chức
造	tạo	tạo
猪	trư	lợn
赚	trám	kiếm (tiền)
撞	chàng	đâm
专	chuyên	chuyên
贺	hạ	chúc mừng
逐	trục	dần; đuổi
渐	tiệm	dần
著	trứ	nổi tiếng; viết
仔	tử	kỹ
组	tổ	tổ, nhóm
嘴	chủy	miệng
尊	tôn	tôn trọng
座	tọa	chỗ ngồi
