# chữ	âm Hán Việt	nghĩa
织	chức	dệt
唉	ai	ôi (than)
岸	ngạn	bờ
慰	úy	an ủi
装	trang	trang phục; lắp
摆	bãi	bày, đặt
棒	bổng	gậy; giỏi
傍	bàng	gần
宝	bảo	báu
贝	bối	vỏ sò; báu
存	tồn	tồn tại; gửi
裹	khỏa	bọc
含	hàm	ngậm, chứa
背	bối	lưng; thuộc lòng
悲	bi	buồn
领	lĩnh	cổ áo; lãnh đạo
编	biên	biên soạn
辑	tập	biên tập
辩	biện	tranh luận
鞭	tiên	roi
炮	pháo	pháo
彼	bỉ	kia
避	tị	tránh
丙	bính	bính
毒	độc	độc
薄	bạc	mỏng
玻	pha	thủy tinh
璃	ly	thủy tinh
脖	bột	cổ
布	bố	vải
补	bổ	bổ sung
充	sung	đầy
骤	sậu	bước; đột ngột
踩	thải	giẫm
财	tài	của cải
产	sản	sản xuất
采	thái	hái; chọn
虹	hồng	cầu vồng
残	tàn	tàn
疾	tật	bệnh
惭	tàm	xấu hổ
愧	quý	thẹn
餐	xan	bữa ăn
厅	sảnh	sảnh
操	thao	thao tác
册	sách	quyển
曾	tằng	từng
厕	xí	nhà vệ sinh
测	trắc	đo
插	sáp	cắm
拆	sách	tháo
途	đồ	đường
朝	triều	hướng về; triều
炒	sao	xào
抄	sao	chép
架	giá	giá, kệ
叉	xoa	nĩa; chéo
彻	triệt	triệt để
库	khố	kho
趁	sấn	nhân lúc
承	thừa	nhận; thừa
称	xưng	gọi
呼	hô	gọi
恳	khẩn	khẩn thiết
立	lập	đứng
赞	tán	khen
沉	trầm	chìm
厢	sương	toa; gian
翅	sí	cánh
膀	bàng	cánh; vai
亏	khuy	thiếu; may mà
池	trì	ao
尺	xích	thước
冲	xung	xông; xối
器	khí	đồ dùng
宠	sủng	cưng
臭	xú	thối
丑	xú	xấu
屉	thế	ngăn kéo
递	đệ	chuyển, đưa
闯	sấm	xông vào
帘	liêm	rèm
创	sáng	sáng tạo
统	thống	thống nhất
版	bản	bản in
吹	xuy	thổi
初	sơ	đầu
夕	tịch	chiều tối
席	tịch	chỗ ngồi; chiếu
磁	từ	từ tính
刺	thứ	gai; đâm
辞	từ	từ chức; lời
匆	thông	vội
醋	thố	giấm
催	thôi	giục
促	xúc	thúc đẩy
措	thố	biện pháp
施	thi	thi hành
呆	ngai	đờ; ở lại
贷	thải	vay
款	khoản	khoản tiền
待	đãi	đợi; đối đãi
淡	đạm	nhạt
纯	thuần	thuần
独	độc	một mình
挡	đáng	chắn
耽	đam	trì hoãn
胆	đảm	mật; gan dạ
鬼	quỷ	ma
岛	đảo	đảo
倒	đảo	đổ; ngược
德	đức	đức
霉	mai	mốc
致	trí	đưa đến
喷	phún	phun
嚏	đế	hắt hơi
型	hình	kiểu
登	đăng	lên; đăng
牌	bài	biển hiệu; bài
滴	tích	giọt
钓	điếu	câu cá
顶	đỉnh	đỉnh
丁	đinh	đinh
敌	địch	địch
毯	thảm	thảm
震	chấn	rung
冻	đống	đông lạnh
洞	động	hang
逗	đậu	trêu
豆	đậu	đậu
腐	hủ	thối; đậu phụ
堆	đôi	đống
吨	đốn	tấn
蹲	tồn	ngồi xổm
躲	đóa	trốn
藏	tàng	giấu
余	dư	thừa
恶	ác	ác
劣	liệt	kém
愁	sầu	buồn lo
抖	đẩu	run
挥	huy	vung; huy
罚	phạt	phạt
妨	phương	cản trở
碍	ngại	cản
仿	phỏng	bắt chước
佛	phật	Phật; phảng phất
繁	phồn	phồn thịnh
荣	vinh	vinh
凡	phàm	phàm
肺	phế	phổi
废	phế	bỏ
皂	tạo	xà phòng
斗	đấu	đấu tranh
纷	phân	rối
讽	phúng	châm biếm
疯	phong	điên
狂	cuồng	cuồng
俗	tục	tục
愤	phẫn	phẫn nộ
怒	nộ	giận
配	phối	phối hợp
析	tích	phân tích
扶	phù	đỡ
幅	bức	bức (tranh)
辅	phụ	phụ đạo
付	phó	trả
妇	phụ	phụ nữ
革	cách	cải cách; da
念	niệm	nhớ; đọc
善	thiện	thiện
脆	thúy	giòn
钢	cương	thép
赶	cản	đuổi; vội
搞	cảo	làm
档	đáng	hồ sơ; hạng
盖	cái	nắp; đậy
隔	cách	cách
壁	bích	vách
胳	cách	cánh tay
膊	bác	cánh tay
鸽	cáp	bồ câu
厂	xưởng	nhà máy
贡	cống	cống hiến
献	hiến	hiến
寓	ngụ	ngụ ý; chung cư
构	cấu	cấu tạo
沟	câu	rãnh; giao lưu
乖	quai	ngoan
拐	quải	rẽ
弯	loan	cong
官	quan	quan
闭	bế	đóng
泛	phiếm	rộng
滑	hoạt	trơn
临	lâm	tới, gần
冠	quán	quán quân
军	quân	quân
罐	quán	lon
古	cổ	cổ
固	cố	cố định
姑	cô	cô
矩	củ	quy tắc
模	mô	mô hình
柜	quỹ	tủ
滚	cổn	lăn
娘	nương	mẹ; cô gái
锅	oa	nồi
籍	tịch	quốc tịch
敏	mẫn	nhạy
庆	khánh	mừng
股	cổ	cổ phần; đùi
骨	cốt	xương
雇	cố	thuê
佣	dung	làm thuê
哈	cáp	ha
喊	hảm	gọi to
豪	hào	hào
华	hoa	hoa lệ
吓	hách	dọa
恨	hận	hận
横	hoành	ngang
核	hạch	hạt nhân
壶	hồ	ấm
皇	hoàng	hoàng
帝	đế	đế
慌	hoang	hoảng
缓	hoãn	chậm
幻	huyễn	ảo
裔	duệ	hậu duệ
蝴	hồ	bướm
蝶	điệp	bướm
灰	hôi	tro; xám
尘	trần	bụi
恢	khôi	khôi phục
汇	hối	hối đoái; tập hợp
率	suất	tỷ lệ
姻	nhân	hôn nhân
伙	hỏa	bạn bè
伴	bạn	bạn
柴	sài	củi
跃	dược	nhảy
胡	hồ	bừa; râu
糊	hồ	hồ dán; mơ hồ
涂	đồ	bôi
嫁	giá	gả
甲	giáp	giáp
嘉	gia	tốt đẹp
捡	kiểm	nhặt
煎	tiên	rán
浅	thiển	nông
肩	kiên	vai
剪	tiễn	cắt
落	lạc	rơi
酱	tương	tương
艰	gian	gian nan
巨	cự	to lớn
建	kiến	xây dựng
强	cường	mạnh
尖	tiêm	nhọn
锐	duệ	sắc bén
设	thiết	thiết lập
筑	trúc	xây
浇	kiêu	tưới
狡	giảo	giảo hoạt
猾	hoạt	ranh ma
郊	giao	ngoại ô
胶	giao	keo
训	huấn	huấn luyện
驾	giá	lái
驶	sử	lái
庭	đình	sân; gia đình
乡	hương	quê
夹	giáp	kẹp
届	giới	khóa (kỳ)
触	xúc	chạm
阶	giai	bậc
戒	giới	răn; bỏ
账	trướng	tài khoản
烈	liệt	mãnh liệt
录	lục	ghi
寂	tịch	vắng
寞	mịch	vắng vẻ
敬	kính	kính
营	doanh	kinh doanh
谨	cẩn	cẩn thận
慎	thận	thận trọng
属	thuộc	thuộc
肌	cơ	cơ bắp
救	cứu	cứu
舅	cữu	cậu
卷	quyển	cuộn
捐	quyên	quyên góp
圈	khuyên	vòng
聚	tụ	tụ họp
俱	câu	đều
均	quân	đều
匀	quân	đều
桔	quất	quýt
幕	mạc	màn
砍	khảm	chặt
抗	kháng	chống
烤	khảo	nướng
鸭	áp	vịt
颗	khỏa	viên, hạt
靠	kháo	dựa
怖	bố	sợ
闲	nhàn	rảnh
控	khống	khống chế
夸	khoa	khen; khoác
矿	khoáng	khoáng
泉	tuyền	suối
椒	tiêu	ớt, tiêu
拦	lan	chặn
烂	lạn	nát
狼	lang	sói
劳	lao	lao động
姥	lão	bà ngoại
鼠	thử	chuột
蜡	lạp	sáp
烛	chúc	nến
雷	lôi	sấm
类	loại	loại
梨	lê	lê
粒	lạp	hạt
恋	luyến	yêu
良	lương	tốt
粮	lương	lương thực
拜	bái	bái
厘	li	li
铃	linh	chuông
灵	linh	linh hoạt
域	vực	vùng
浏	lưu	lướt
览	lãm	xem
益	ích	lợi ích
龙	long	rồng
漏	lậu	rò rỉ
露	lộ	lộ; sương
陆	lục	đất liền
轮	luân	bánh xe; lượt
逻	la	logic
骂	mạ	mắng
麦	mạch	lúa mì
馒	man	màn thầu
矛	mâu	mâu
盾	thuẫn	khiên
贸	mậu	mậu dịch
魅	mị	quyến rũ
眉	mi	lông mày
煤	môi	than
炭	thán	than
棉	miên	bông
秒	miểu	giây
苗	miêu	mầm
描	miêu	miêu tả
蜜	mật	mật
蜂	phong	ong
迷	mê	mê
秘	bí	bí mật
令	lệnh	lệnh
胜	thắng	thắng
显	hiển	hiển thị
谜	mê	câu đố
摸	mô	sờ
陌	mạch	xa lạ
摩	ma	ma sát
托	thác	nhờ; đỡ
某	mỗ	nào đó
木	mộc	gỗ
嫩	nộn	non
源	nguyên	nguồn
宁	ninh	yên; thà
浓	nồng	đậm
派	phái	phái
拍	phách	vỗ; chụp
队	đội	đội
盼	phán	mong
赔	bồi	bồi thường
偿	thường	đền
佩	bội	đeo; khâm phục
培	bồi	bồi dưỡng
盆	bồn	chậu
碰	bính	va
披	phi	khoác
匹	thất	con (ngựa)
飘	phiêu	bay
疲	bì	mệt
频	tần	tần suất
凭	bằng	dựa vào
衡	hành	cân bằng
迫	bách	bức
朴	phác	mộc mạc
素	tố	tố; chay
欠	khiếm	nợ
牵	khiên	dắt
抢	thưởng	cướp
枪	thương	súng
谦	khiêm	khiêm
虚	hư	hư; khiêm
瞧	tiều	nhìn
妙	diệu	diệu kỳ
悄	tiễu	lặng lẽ
启	khải	mở
氛	phân	bầu không khí
迹	tích	dấu vết
勤	cần	chăm
青	thanh	xanh
绪	tự	tâm trạng
侵	xâm	xâm
略	lược	lược; sơ
企	xí	doanh nghiệp
娶	thú	cưới (vợ)
劝	khuyến	khuyên
权	quyền	quyền
乏	phạp	thiếu
趋	xu	xu hướng
势	thế	thế
嚷	nhượng	la
燃	nhiên	đốt
绕	nhiễu	vòng
忍	nhẫn	nhịn
融	dung	hòa tan
誉	dự	danh dự
弱	nhược	yếu
洒	sái	vẩy
嗓	tảng	cổ họng
傻	sỏa	ngốc
杀	sát	giết
晒	sái	phơi
漠	mạc	sa mạc
删	san	xóa
闪	thiểm	lóe
扇	phiến	quạt
勺	chước	thìa
滩	than	bãi
蛇	xà	rắn
舍	xá	bỏ; nhà
射	xạ	bắn
击	kích	đánh
伸	thân	duỗi
升	thăng	lên
绳	thằng	dây
舌	thiệt	lưỡi
摄	nhiếp	chụp
诗	thi	thơ
兵	binh	lính
似	tự	giống
践	tiễn	thực hiện
劲	kình	sức
髦	mao	thời thượng
眠	miên	ngủ
尚	thượng	còn; chuộng
石	thạch	đá
寿	thọ	thọ
套	sáo	bộ
甩	suất	vung, vứt
摔	suất	ngã
蔬	sơ	rau
税	thuế	thuế
梳	sơ	lược, chải
撕	tê	xé
丝	ti	tơ
绸	trù	lụa
