# chữ	âm Hán Việt	nghĩa
吧	ba	trợ từ ngữ khí
白	bạch	trắng
百	bách	trăm
帮	bang	giúp
助	trợ	giúp đỡ
报	báo	báo, báo cáo
纸	chỉ	giấy
比	tỉ	so sánh
别	biệt	đừng; khác
宾	tân	khách
馆	quán	quán, nhà
长	trường	dài
唱	xướng	hát
歌	ca	bài hát
出	xuất	ra
穿	xuyên	mặc; xuyên qua
次	thứ	lần
从	tòng	từ; theo
错	thác	sai
打	đả	đánh, chơi
篮	lam	giỏ, rổ
球	cầu	quả bóng
大	đại	to, lớn
家	gia	nhà
到	đáo	đến
得	đắc	được; trợ từ
等	đẳng	đợi; hạng
弟	đệ	em trai
第	đệ	thứ (số thứ tự)
一	nhất	một
懂	đổng	hiểu
对	đối	đúng; đối với
房	phòng	nhà, phòng
间	gian	gian, khoảng
非	phi	không phải
常	thường	thường
服	phục	phục vụ; quần áo
务	vụ	việc
员	viên	nhân viên
高	cao	cao
告	cáo	báo, nói
诉	tố	kể, nói
哥	ca	anh trai
给	cấp	cho
公	công	công cộng
共	cộng	chung
汽	khí	hơi
车	xa	xe
司	ty	quản lý
贵	quý	đắt; quý
过	quá	qua
还	hoàn	vẫn; trả lại
孩	hài	trẻ con
子	tử	con; hậu tố
好	hảo	tốt
吃	ngật	ăn
黑	hắc	đen
红	hồng	đỏ
火	hỏa	lửa
站	trạm	trạm; đứng
机	cơ	máy
场	trường	sân, bãi
鸡	kê	gà
蛋	đản	trứng
件	kiện	cái, chiếc
教	giáo	dạy
室	thất	phòng
姐	tỷ	chị
介	giới	giới thiệu
绍	thiệu	nối tiếp
进	tiến	vào
近	cận	gần
就	tựu	thì, liền
觉	giác	cảm thấy
咖	ca	(cà phê)
啡	phi	(cà phê)
开	khai	mở
始	thủy	bắt đầu
考	khảo	thi
试	thí	thử, thi
可	khả	có thể
能	năng	có thể; năng lực
以	dĩ	lấy, dùng
课	khóa	bài học
快	khoái	nhanh; vui
乐	lạc	vui
累	lụy	mệt
离	ly	cách, rời
两	lưỡng	hai
路	lộ	đường
旅	lữ	đi xa
游	du	du ngoạn; bơi
卖	mại	bán
慢	mạn	chậm
忙	mang	bận
每	mỗi	mỗi
妹	muội	em gái
门	môn	cửa
面	diện	mì; mặt
条	điều	sợi, dải
男	nam	nam
您	nâm	ngài
牛	ngưu	bò, trâu
奶	nãi	sữa
女	nữ	nữ
旁	bàng	bên cạnh
边	biên	bên, cạnh
跑	bào	chạy
步	bộ	bước
便	tiện	tiện; rẻ
宜	nghi	thích hợp
票	phiếu	vé
妻	thê	vợ
起	khởi	dậy, bắt đầu
床	sàng	giường
千	thiên	nghìn
铅	duyên	chì
笔	bút	bút
晴	tình	nắng ráo
去	khứ	đi
年	niên	năm
让	nhượng	để cho; nhường
日	nhật	ngày; mặt trời
上	thượng	trên; lên
班	ban	lớp; ca làm
身	thân	thân thể
体	thể	hình thể
生	sinh	sinh; sống
病	bệnh	bệnh
时	thời	thời gian
事	sự	việc
情	tình	tình; sự tình
手	thủ	tay
表	biểu	đồng hồ; biểu
说	thuyết	nói
话	thoại	lời nói
送	tống	tặng; tiễn
虽	tuy	tuy
然	nhiên	như vậy
但	đãn	nhưng
是	thị	là
它	tha	nó
踢	thích	đá
足	túc	chân; đủ
题	đề	đề, câu hỏi
跳	khiêu	nhảy
舞	vũ	múa
外	ngoại	ngoài
完	hoàn	xong
玩	ngoạn	chơi
晚	vãn	tối, muộn
往	vãng	hướng về
为	vị	vì
什	thập	(gì)
么	ma	(hậu tố)
问	vấn	hỏi
西	tây	tây
瓜	qua	dưa
希	hy	mong
望	vọng	mong; nhìn
洗	tẩy	rửa
小	tiểu	nhỏ
笑	tiếu	cười
新	tân	mới
姓	tính	họ
休	hưu	nghỉ
息	tức	nghỉ; hơi thở
雪	tuyết	tuyết
颜	nhan	sắc mặt
色	sắc	màu
眼	nhãn	mắt
睛	tình	con ngươi
羊	dương	dê, cừu
肉	nhục	thịt
药	dược	thuốc
要	yếu	muốn; cần
也	dã	cũng
已	dĩ	đã
经	kinh	trải qua
意	ý	ý
思	tứ	nghĩ
因	nhân	nguyên nhân
所	sở	nơi; sở
阴	âm	âm u
泳	vịnh	bơi
右	hữu	phải
鱼	ngư	cá
远	viễn	xa
运	vận	vận chuyển
动	động	động
再	tái	lại
早	tảo	sớm
丈	trượng	trượng
夫	phu	chồng; người
找	trảo	tìm
着	trước	trợ từ tiếp diễn
真	chân	thật
正	chính	đúng; đang
在	tại	ở; đang
知	tri	biết
道	đạo	đường; đạo
准	chuẩn	chuẩn
备	bị	chuẩn bị
走	tẩu	đi
最	tối	nhất
左	tả	trái
