# hanzi	nghĩa tiếng Việt	pinyin (ghi đè, tuỳ chọn)	nghĩa Anh (ghi đè, tuỳ chọn)
爱	yêu, yêu thích
八	tám
爸爸	bố, ba
北京	Bắc Kinh
杯子	cốc, chén, ly
本	quyển, cuốn (lượng từ sách); vốn, gốc
不	không
不客气	không có gì, đừng khách sáo
菜	rau; món ăn
茶	trà
吃	ăn
出租车	xe taxi
大	to, lớn
打电话	gọi điện thoại
的	của (trợ từ sở hữu)
点	giờ; điểm; một chút; gọi món
电脑	máy tính
电视	ti vi, truyền hình
电影	phim, điện ảnh
东西	đồ, đồ vật
都	đều
读	đọc; học
对不起	xin lỗi
多	nhiều
多少	bao nhiêu
二	hai
儿子	con trai
饭馆	quán ăn, nhà hàng
飞机	máy bay
分钟	phút
高兴	vui, vui mừng
个	cái, chiếc (lượng từ chung)
工作	công việc; làm việc
狗	chó
汉语	tiếng Hán, tiếng Trung
好	tốt, hay, khỏe
和	và, với
喝	uống	hē	to drink
很	rất
后面	phía sau, đằng sau
回	về, trở về; lần
会	biết, có thể; sẽ
几	mấy, vài
家	nhà, gia đình
叫	gọi, tên là
今天	hôm nay
九	chín
开	mở; lái (xe); bật
看	nhìn, xem, đọc
看见	nhìn thấy
块	đồng (tiền); miếng, cục
来	đến, tới
老师	giáo viên, thầy cô
冷	lạnh
里	trong, bên trong	lǐ	inside; in; within
了	rồi (trợ từ hoàn thành)	le	(completed action / change of state particle)
零	số không
六	sáu
吗	không? (trợ từ nghi vấn)
买	mua
妈妈	mẹ
猫	mèo
没关系	không sao, không có gì
米饭	cơm
明天	ngày mai
名字	tên
没	không (có); chưa	méi	have not; not; none
哪	nào, đâu
呢	nhỉ? thế? (trợ từ)
能	có thể, có khả năng
你	bạn, anh, chị
年	năm	nián	year
女儿	con gái
那	đó, kia; vậy thì	nà	that; those; then
朋友	bạn, bạn bè
漂亮	đẹp, xinh
苹果	táo
七	bảy
钱	tiền
前面	phía trước
请	mời; xin
去	đi, đến
热	nóng
