# hanzi	nghĩa tiếng Việt	pinyin (ghi đè)	nghĩa Anh (ghi đè)
悠久	lâu đời
邮局	bưu điện
游览	tham quan, du ngoạn
有利	có lợi
优美	đẹp, tao nhã
优势	ưu thế
犹豫	do dự
油炸	chiên, rán ngập dầu
元旦	Tết Dương lịch
缘故	nguyên do, lý do
原料	nguyên liệu
愿望	nguyện vọng, mong ước
原则	nguyên tắc
预报	dự báo
预订	đặt trước
预防	phòng ngừa
娱乐	giải trí
玉米	ngô, bắp
晕	chóng mặt; ngất
运气	vận may, may mắn
运输	vận chuyển
运用	vận dụng
与其	thà ... còn hơn
语气	giọng điệu, ngữ khí
宇宙	vũ trụ
灾害	thiên tai, tai họa
再三	nhiều lần, hết lần này đến lần khác
赞成	tán thành
赞美	ca ngợi
造成	gây ra, tạo thành
糟糕	tệ, hỏng bét
则	thì; quy tắc
责备	trách móc
摘	hái; tháo
涨	tăng (giá); dâng
账户	tài khoản
掌握	nắm vững
展开	triển khai, mở ra
展览	triển lãm
粘贴	dán
占线	máy bận
战争	chiến tranh
照常	như thường lệ
招待	tiếp đãi
召开	triệu tập, tổ chức (họp)
着凉	bị cảm lạnh
阵	trận, cơn, đợt
振动	rung, chấn động
诊断	chẩn đoán
针对	nhằm vào, đối với
正	đúng, chính; đang
睁	mở (mắt)
政策	chính sách
政府	chính phủ
整个	toàn bộ, cả
证件	giấy tờ
证据	chứng cứ
争论	tranh luận
挣钱	kiếm tiền
征求	trưng cầu
争取	tranh thủ, giành lấy
整体	tổng thể
政治	chính trị
真理	chân lý
真实	chân thực
枕头	gối
珍惜	trân trọng, quý trọng
哲学	triết học
直	thẳng; thẳng thắn
支	cây, chiếc (lượng từ); chống đỡ
指导	chỉ đạo, hướng dẫn
制定	đặt ra, xây dựng (chính sách)
制度	chế độ
智慧	trí tuệ
指挥	chỉ huy
至今	đến nay
治疗	điều trị
支票	séc
执行	thi hành, thực hiện
秩序	trật tự
至于	còn về, đến mức
执照	giấy phép
制作	chế tác, làm
钟	đồng hồ; giờ
中介	trung gian, môi giới
重量	trọng lượng
中心	trung tâm
中旬	trung tuần
周到	chu đáo
煮	luộc, nấu
抓紧	nắm chặt; tranh thủ
转变	chuyển biến
装	lắp; giả vờ; đóng gói
转告	nhắn lại
状况	tình trạng
装饰	trang trí
状态	trạng thái
专家	chuyên gia
专心	chuyên tâm
逐步	từng bước
注册	đăng ký
主持	chủ trì, dẫn chương trình
祝福	chúc phúc
嘱咐	dặn dò
主观	chủ quan
追求	theo đuổi
主人	chủ nhân, chủ nhà
主席	chủ tịch
主张	chủ trương
竹子	tre, trúc
紫	tím
自从	kể từ
自动	tự động
资格	tư cách
自豪	tự hào
资金	vốn
自觉	tự giác
资料	tư liệu
字幕	phụ đề
姿势	tư thế
自私	ích kỷ
自信	tự tin
咨询	tư vấn
自由	tự do
自愿	tự nguyện
资源	tài nguyên
总裁	tổng giám đốc
总共	tổng cộng
综合	tổng hợp
宗教	tôn giáo
总理	thủ tướng
总算	rốt cuộc, cuối cùng
总统	tổng thống
总之	tóm lại
祖国	tổ quốc
组合	tổ hợp, kết hợp
醉	say
最初	ban đầu
罪犯	tội phạm
尊敬	tôn kính
遵守	tuân thủ
作品	tác phẩm
作为	với tư cách; hành động
作文	bài văn, tập làm văn
祖先	tổ tiên
阻止	ngăn cản
挨	chịu, bị; sát cạnh
爱不释手	yêu thích không rời tay
爱戴	yêu mến, kính yêu
暧昧	mập mờ
哎哟	ối, ôi
癌症	bệnh ung thư
昂贵	đắt đỏ
案件	vụ án
安居乐业	an cư lạc nghiệp
案例	trường hợp, án lệ
按摩	mát-xa
安宁	yên ổn
暗示	ám chỉ, gợi ý ngầm
安详	an nhiên, điềm tĩnh
安置	bố trí, sắp xếp chỗ ở
熬	ninh, hầm; chịu đựng
奥秘	bí ẩn, huyền bí
凹凸	lồi lõm
扒	bóc; bám
疤	sẹo
巴不得	mong muốn, ước gì
霸道	bá đạo, ngang ngược
罢工	đình công
把关	kiểm soát, gác cửa
掰	bẻ
拜访	thăm viếng
百分点	điểm phần trăm
败坏	làm hỏng, bại hoại
拜年	chúc Tết
拜托	nhờ vả, làm ơn
摆脱	thoát khỏi
巴结	nịnh bợ
拔苗助长	nóng vội hỏng việc
版本	phiên bản
颁布	ban bố
颁发	trao tặng, ban hành
磅	pao (đơn vị); cân
绑架	bắt cóc
榜样	tấm gương
伴侣	bạn đời
伴随	đi kèm, theo cùng
半途而废	bỏ dở giữa chừng
斑纹	vằn, vệt
扮演	đóng vai
包庇	bao che
报酬	thù lao
报仇	báo thù
报答	báo đáp
报到	báo danh, trình diện
爆发	bùng nổ
报复	trả thù
抱负	hoài bão
包袱	gánh nặng; tay nải
保管	bảo quản
曝光	phơi bày; phơi sáng
饱和	bão hòa
饱经沧桑	trải qua nhiều thăng trầm
暴力	bạo lực
暴露	bại lộ, phơi bày
保密	giữ bí mật
保姆	người giúp việc, bảo mẫu
报社	tòa soạn báo
保守	bảo thủ
保卫	bảo vệ
包围	bao vây
报销	thanh toán hoàn tiền
保养	bảo dưỡng
抱怨	oán trách, phàn nàn
爆炸	nổ
保障	bảo đảm
保重	giữ gìn sức khỏe
包装	đóng gói, bao bì
把手	tay nắm, tay cầm
把戏	trò bịp, trò
悲哀	bi ai, đau buồn
卑鄙	đê tiện
悲惨	bi thảm
被动	bị động
备份	sao lưu
被告	bị cáo
北极	Bắc Cực
贝壳	vỏ sò
背叛	phản bội
背诵	đọc thuộc lòng
备忘录	bản ghi nhớ
奔波	bôn ba
奔驰	phi nhanh
甭	không cần
蹦	nhảy
迸发	bùng phát
崩溃	sụp đổ
本能	bản năng
本钱	vốn liếng
本人	bản thân, tôi
本身	bản thân (nó)
本事	bản lĩnh
本着	dựa trên, theo
笨拙	vụng về
臂	cánh tay
扁	dẹt
遍布	trải khắp
鞭策	thúc giục
贬低	hạ thấp
变故	biến cố
辩护	biện hộ
边疆	biên cương
辩解	biện bạch
边界	biên giới, ranh giới
边境	biên giới
便利	tiện lợi
变迁	biến đổi, thăng trầm
辨认	nhận ra
便条	giấy nhắn
贬义	nghĩa xấu
便于	tiện cho
边缘	rìa, mép
辩证	biện chứng
变质	biến chất
编织	đan, dệt
辫子	bím tóc
标本	tiêu bản
标记	đánh dấu, ký hiệu
表决	biểu quyết
飙升	tăng vọt
表态	bày tỏ lập trường
标题	tiêu đề
表彰	biểu dương
弊病	tệ nạn, thói xấu
必定	ắt hẳn, chắc chắn
弊端	tệ nạn, mặt trái
憋	nhịn, nén
别扭	khó chịu, gượng gạo
别墅	biệt thự
别致	độc đáo
比方	ví dụ
冰雹	mưa đá
并存	cùng tồn tại
并非	không phải
并列	ngang hàng, song song
濒临	bên bờ, sắp
逼迫	bức ép
闭塞	bế tắc, hẻo lánh
鼻涕	nước mũi
碧玉	ngọc bích
