# hanzi	nghĩa tiếng Việt	pinyin (ghi đè)	nghĩa Anh (ghi đè)
赞扬	tán dương
赞助	tài trợ
造反	tạo phản
遭受	gánh chịu
糟蹋	phá hoại, chà đạp
造型	tạo hình
遭殃	gặp họa
噪音	tiếng ồn
遭遇	gặp phải
责怪	trách móc
贼	trộm
赠送	tặng
增添	thêm vào
咋	sao
眨	chớp mắt
渣	bã, cặn
债券	trái phiếu
摘要	tóm tắt
斩钉截铁	dứt khoát
战斗	chiến đấu
障碍	trở ngại
长辈	bậc trên, bề trên
章程	điều lệ
帐篷	lều
沾光	hưởng ké, thơm lây
占据	chiếm giữ
占领	chiếm lĩnh
战略	chiến lược	zhànlüè
展示	trưng bày, thể hiện
战术	chiến thuật
展望	triển vọng
展现	thể hiện, hiện ra
崭新	mới toanh
瞻仰	chiêm ngưỡng
战役	chiến dịch
占有	chiếm hữu
照料	chăm nom
着迷	mê mẩn
朝气蓬勃	tràn đầy sức sống
招收	tuyển
招投标	đấu thầu
照样	như cũ, vẫn thế
照耀	chiếu rọi
照应	chăm nom, chiếu ứng
沼泽	đầm lầy
诈骗	lừa đảo
扎实	vững chắc
折	gãy; gấp
遮挡	che chắn
折磨	giày vò
阵地	trận địa
镇定	trấn tĩnh
振奋	phấn chấn
正当	chính đáng
争端	tranh chấp
整顿	chỉnh đốn
争夺	tranh giành
蒸发	bốc hơi
正负	dương âm
征服	chinh phục
正规	chính quy
正经	đứng đắn, nghiêm túc
正气	chính khí
争气	cố gắng làm rạng danh
政权	chính quyền
证实	chứng thực
征收	thu (thuế), trưng thu
证书	chứng chỉ
珍贵	quý giá
争先恐后	tranh nhau đi trước
正义	chính nghĩa
争议	tranh cãi
正月	tháng Giêng
挣扎	giãy giụa, vật lộn
郑重	trịnh trọng
症状	triệu chứng
镇静	trấn tĩnh
震惊	chấn động, kinh ngạc
阵容	đội hình
侦探	thám tử
珍稀	quý hiếm
真相	chân tướng, sự thật
振兴	chấn hưng
镇压	trấn áp
真挚	chân thành
珍珠	ngọc trai
斟酌	cân nhắc
折腾	quần quật, giày vò
枝	cành
治安	trị an
值班	trực ban
指标	chỉ tiêu
直播	phát trực tiếp
制裁	trừng phạt, chế tài
支撑	chống đỡ
支出	chi tiêu
致辞	phát biểu
制订	xây dựng (kế hoạch)
指定	chỉ định
脂肪	mỡ, chất béo
制服	đồng phục; khống chế
指甲	móng tay
知觉	tri giác
智力	trí lực
治理	quản lý, cai trị
指令	chỉ lệnh
滞留	lưu lại, mắc kẹt
支流	chi lưu
致力于	dốc sức vào
殖民地	thuộc địa
指南针	la bàn
职能	chức năng
智能	thông minh (AI)
支配	chi phối
志气	chí khí
智商	chỉ số IQ
致使	khiến cho
指示	chỉ thị
指望	trông mong
职位	chức vụ
职务	chức vụ, nhiệm vụ
支援	chi viện
制约	chế ước, ràng buộc
指责	chỉ trích
制止	ngăn chặn
支柱	trụ cột
知足常乐	biết đủ thì vui
忠诚	trung thành
终点	điểm cuối, đích
中断	gián đoạn
终究	rốt cuộc
中立	trung lập
肿瘤	khối u
终年	quanh năm
终身	suốt đời
忠实	trung thực
众所周知	ai cũng biết
重心	trọng tâm
衷心	chân thành
中央	trung ương
终止	chấm dứt
种子	hạt giống
种族	chủng tộc
州	châu, bang
舟	thuyền
粥	cháo
周边	xung quanh
周密	chu đáo, kín kẽ
周年	kỷ niệm năm
周期	chu kỳ
皱纹	nếp nhăn
昼夜	ngày đêm
周折	trắc trở
周转	quay vòng (vốn)
拄	chống (gậy)
株	cây (lượng từ)
拽	kéo, lôi
专长	sở trường
专程	chuyên đi (vì việc gì)
转达	chuyển lời
幢	tòa (nhà)
装备	trang bị
壮观	hùng vĩ
壮丽	tráng lệ
壮烈	oanh liệt
装卸	bốc dỡ
庄严	trang nghiêm
庄重	trang trọng
传记	truyện ký, tiểu sử
专科	cao đẳng; chuyên khoa
专利	bằng sáng chế
转让	chuyển nhượng
专题	chuyên đề
砖瓦	gạch ngói
转移	chuyển dời
转折	bước ngoặt
主办	chủ trì tổ chức
主导	chủ đạo
主管	phụ trách, quản lý
追悼	truy điệu
追究	truy cứu
助理	trợ lý
主流	dòng chính
逐年	từng năm
准则	chuẩn tắc
着手	bắt tay vào
着想	nghĩ cho
卓越	xuất sắc
着重	chú trọng
主权	chủ quyền
注射	tiêm
注视	nhìn chăm chú
注释	chú thích
助手	trợ thủ
主题	chủ đề
诸位	chư vị
铸造	đúc
驻扎	đóng quân
住宅	nhà ở
注重	chú trọng
著作	trước tác, tác phẩm
自卑	tự ti
资本	tư bản, vốn
资产	tài sản
子弹	viên đạn
自发	tự phát
自力更生	tự lực cánh sinh
自满	tự mãn
字母	chữ cái
资深	lão luyện, kỳ cựu
姿态	tư thái, thái độ
滋味	mùi vị, cảm giác
滋长	nảy sinh, lớn dần
自主	tự chủ
资助	tài trợ
总而言之	tóm lại
总和	tổng
纵横	dọc ngang
踪迹	tung tích
棕色	màu nâu
宗旨	tôn chỉ
揍	đánh
走廊	hành lang
走漏	rò rỉ (tin)
走私	buôn lậu
组	tổ, nhóm
阻碍	cản trở
钻石	kim cương
钻研	nghiên cứu sâu
祖父	ông nội
嘴唇	môi
阻拦	ngăn cản
租赁	cho thuê
阻挠	cản trở
遵循	tuân theo
尊严	tôn nghiêm
作弊	gian lận
做东	làm chủ tiệc
作废	hủy bỏ, vô hiệu
作风	tác phong
琢磨	suy ngẫm; mài giũa
作息	làm việc và nghỉ ngơi
左右	trái phải; khoảng
座右铭	châm ngôn
做主	quyết định, làm chủ
足以	đủ để
