# hanzi	nghĩa tiếng Việt	pinyin (ghi đè, tuỳ chọn)
吧	nhé, đi (trợ từ cuối câu)	ba
白	trắng	bái
百	trăm	bǎi
帮助	giúp đỡ	bāngzhù
报纸	báo, tờ báo	bàozhǐ
比	so với, hơn	bǐ
别	đừng	bié
宾馆	khách sạn	bīnguǎn
长	dài	cháng
唱歌	hát, ca hát	chànggē
出	ra, đi ra	chū
穿	mặc, đi (giày)	chuān
次	lần, lượt	cì
从	từ	cóng
错	sai	cuò
打篮球	chơi bóng rổ	dǎ lánqiú
大家	mọi người	dàjiā
到	đến, tới	dào
得	trợ từ bổ ngữ trạng thái	de
等	đợi, chờ	děng
弟弟	em trai	dìdi
第一	thứ nhất	dì-yī
懂	hiểu	dǒng
对	đúng; đối với	duì
房间	phòng, căn phòng	fángjiān
非常	vô cùng, rất	fēicháng
服务员	nhân viên phục vụ	fúwùyuán
高	cao	gāo
告诉	nói cho biết, bảo	gàosu
哥哥	anh trai	gēge
给	cho, đưa	gěi
公共汽车	xe buýt	gōnggòng qìchē
公司	công ty	gōngsī
贵	đắt	guì
过	đã từng	guo
还	vẫn, còn	hái
孩子	trẻ con, con cái	háizi
好吃	ngon	hǎochī
黑	đen	hēi
红	đỏ	hóng
火车站	ga tàu hỏa	huǒchēzhàn
机场	sân bay	jīchǎng
鸡蛋	trứng gà	jīdàn
件	chiếc, cái (áo, việc)	jiàn
教室	phòng học, lớp học	jiàoshì
姐姐	chị gái	jiějie
介绍	giới thiệu	jièshào
进	vào, tiến vào	jìn
近	gần	jìn
就	thì, liền, ngay	jiù
觉得	cảm thấy	juéde
咖啡	cà phê	kāfēi
开始	bắt đầu	kāishǐ
考试	thi, kỳ thi	kǎoshì
可能	có thể, có lẽ	kěnéng
可以	có thể, được phép	kěyǐ
课	bài học, tiết học	kè
快	nhanh	kuài
快乐	vui vẻ, hạnh phúc	kuàilè
累	mệt	lèi
离	cách, rời	lí
两	hai	liǎng
路	đường, con đường	lù
旅游	du lịch	lǚyóu
卖	bán	mài
慢	chậm	màn
忙	bận	máng
每	mỗi	měi
妹妹	em gái	mèimei
门	cửa	mén
面条	mì sợi	miàntiáo
男	nam, đàn ông	nán
您	ngài, ông/bà (kính trọng)	nín
牛奶	sữa bò	niúnǎi
女	nữ, phụ nữ	nǚ
旁边	bên cạnh	pángbiān
跑步	chạy bộ	pǎobù
便宜	rẻ	piányi
票	vé	piào
妻子	vợ	qīzi
起床	thức dậy	qǐchuáng
千	nghìn	qiān
铅笔	bút chì	qiānbǐ
晴	nắng, trời quang	qíng
去年	năm ngoái	qùnián
让	để cho, bảo, nhường	ràng
日	ngày; mặt trời	rì
上班	đi làm	shàngbān
身体	cơ thể, thân thể, sức khỏe	shēntǐ
生病	bị ốm, bị bệnh	shēngbìng
生日	sinh nhật	shēngrì
时间	thời gian	shíjiān
事情	việc, sự việc	shìqing
手表	đồng hồ đeo tay	shǒubiǎo
手机	điện thoại di động	shǒujī
说话	nói chuyện	shuōhuà
送	tặng, đưa, tiễn	sòng
虽然	tuy, mặc dù	suīrán
但是	nhưng	dànshì
它	nó (đồ vật, con vật)	tā
踢足球	đá bóng	tī zúqiú
题	đề, câu hỏi, bài	tí
跳舞	nhảy múa, khiêu vũ	tiàowǔ
外	ngoài, bên ngoài	wài
完	xong, hết	wán
玩	chơi	wán
晚上	buổi tối	wǎnshang
往	về phía, hướng	wǎng
为什么	tại sao	wèishénme
问	hỏi	wèn
问题	câu hỏi, vấn đề	wèntí
西瓜	dưa hấu	xīguā
希望	hy vọng, mong	xīwàng
洗	rửa, giặt	xǐ
小时	giờ, tiếng đồng hồ	xiǎoshí
笑	cười	xiào
新	mới	xīn
姓	họ, mang họ	xìng
休息	nghỉ ngơi	xiūxi
雪	tuyết	xuě
颜色	màu sắc	yánsè
眼睛	mắt	yǎnjing
羊肉	thịt dê, thịt cừu	yángròu
药	thuốc	yào
要	muốn, cần, phải	yào
也	cũng	yě
已经	đã, rồi	yǐjīng
一起	cùng nhau	yìqǐ
意思	ý nghĩa, ý	yìsi
因为	bởi vì	yīnwèi
所以	cho nên, vì vậy	suǒyǐ
阴	âm u, râm	yīn
游泳	bơi	yóuyǒng
右边	bên phải	yòubian
鱼	cá	yú
远	xa	yuǎn
运动	vận động, thể thao	yùndòng
再	lại, nữa	zài
早上	buổi sáng	zǎoshang
丈夫	chồng	zhàngfu
找	tìm; trả lại tiền thừa	zhǎo
着	đang (trạng thái tiếp diễn)	zhe
真	thật, thật là	zhēn
正在	đang	zhèngzài
知道	biết	zhīdào
准备	chuẩn bị	zhǔnbèi
走	đi, đi bộ, rời đi	zǒu
最	nhất	zuì
左边	bên trái	zuǒbian
